epoch,step,train_loss
4,4,423830258450432.0
9,9,1.0884420745610396e+19
14,14,8.077860690863325e+18
19,19,1.8137187283917667e+29
24,24,nan
29,29,nan
34,34,nan
39,39,nan
44,44,nan
49,49,nan
54,54,nan
59,59,nan
64,64,nan
69,69,nan
74,74,nan
79,79,nan
84,84,nan
89,89,nan
94,94,nan
99,99,nan
104,104,nan
109,109,nan
114,114,nan
119,119,nan
124,124,nan
129,129,nan
134,134,nan
139,139,nan
144,144,nan
149,149,nan
154,154,nan
159,159,nan
164,164,nan
169,169,nan
174,174,nan
179,179,nan
184,184,nan
189,189,nan
194,194,nan
199,199,nan
204,204,nan
209,209,nan
214,214,nan
219,219,nan
224,224,nan
229,229,nan
234,234,nan
239,239,nan
244,244,nan
249,249,nan
254,254,nan
259,259,nan
264,264,nan
269,269,nan
274,274,nan
279,279,nan
284,284,nan
289,289,nan
294,294,nan
299,299,nan
304,304,nan
309,309,nan
314,314,nan
319,319,nan
324,324,nan
329,329,nan
334,334,nan
339,339,nan
344,344,nan
349,349,nan
354,354,nan
359,359,nan
364,364,nan
369,369,nan
374,374,nan
379,379,nan
384,384,nan
389,389,nan
394,394,nan
399,399,nan
404,404,nan
409,409,nan
414,414,nan
419,419,nan
424,424,nan
429,429,nan
434,434,nan
439,439,nan
444,444,nan
449,449,nan
454,454,nan
459,459,nan
464,464,nan
469,469,nan
474,474,nan
479,479,nan
484,484,nan
489,489,nan
494,494,nan
499,499,nan
